Check (release year) as well?

[18/Feb/2019 15:47:37] WARNING [MYAPP:209] Found Solace, not full scores
[18/Feb/2019 15:47:38] WARNING [MYAPP:253] Found Micro Emblem, no time recorded
[18/Feb/2019 15:47:42] WARNING [MYAPP:253] Found The Chronicles of Shakespeare: A Midsummer Night's Dream, no time recorded
[18/Feb/2019 15:49:22] WARNING [MYAPP:253] Found The Chronicles of Shakespeare: Romeo and Juliet, no time recorded
[18/Feb/2019 15:49:45] WARNING [MYAPP:253] Found Scooby-Doo 2: Monsters Unleashed, no time recorded
[18/Feb/2019 15:49:47] WARNING [MYAPP:253] Found Spirit Stallion of the Cimarron, no time recorded
[18/Feb/2019 15:49:49] WARNING [MYAPP:253] Found Warsow, no time recorded
[18/Feb/2019 15:49:51] WARNING [MYAPP:209] Found Warsow, not full scores
[18/Feb/2019 15:49:52] WARNING [MYAPP:253] Found fate -RPG Maker Game, no time recorded
[18/Feb/2019 15:50:05] WARNING [MYAPP:253] Found PokémonFusionGeneration, no time recorded
[18/Feb/2019 15:50:07] WARNING [MYAPP:253] Found Super Smash Bros. Crusade, no time recorded
[18/Feb/2019 15:50:16] WARNING [MYAPP:253] Found Super Smash Bros. Land, no time recorded
[18/Feb/2019 15:50:24] WARNING [MYAPP:253] Found Adventure Bar Labyrinth, no time recorded
[18/Feb/2019 15:50:26] WARNING [MYAPP:209] Found Adventure Bar Labyrinth, not full scores
[18/Feb/2019 15:50:27] WARNING [MYAPP:253] Found And Everything Started to Fall, no time recorded
[18/Feb/2019 15:50:28] WARNING [MYAPP:305] And Everything Started to Fall - PC
[18/Feb/2019 15:50:28] WARNING [MYAPP:306] <type 'exceptions.IndexError'>
[18/Feb/2019 15:50:28] WARNING [MYAPP:307] list index out of range
[18/Feb/2019 15:50:28] ERROR [MYAPP:308] None
[18/Feb/2019 15:50:28] WARNING [MYAPP:253] Found Persona 4 Racing All Afternoon, no time recorded
[18/Feb/2019 15:50:59] WARNING [MYAPP:253] Found Super Trucks Racing, no time recorded
[18/Feb/2019 15:51:02] WARNING [MYAPP:253] Found Taito Legends, no time recorded
[18/Feb/2019 15:51:05] WARNING [MYAPP:253] Found Anima: Ark of Sinners, no time recorded
[18/Feb/2019 15:51:08] WARNING [MYAPP:253] Found NFL Blitz 2001, no time recorded
[18/Feb/2019 15:51:13] WARNING [MYAPP:209] Found Max Gentlemen, not full scores
[18/Feb/2019 15:51:14] WARNING [MYAPP:253] Found Karaoke Revolution Presents: American Idol Encore, no time recorded
[18/Feb/2019 15:51:16] WARNING [MYAPP:253] Found Enviro-bear 2010, no time recorded
[18/Feb/2019 15:51:20] WARNING [MYAPP:253] Found Conquest of Champions, no time recorded
[18/Feb/2019 15:51:22] WARNING [MYAPP:209] Found Conquest of Champions, not full scores
[18/Feb/2019 15:51:23] WARNING [MYAPP:253] Found Love Love Chau, no time recorded
[18/Feb/2019 15:51:31] WARNING [MYAPP:253] Found Dogz, no time recorded
[18/Feb/2019 15:51:32] WARNING [MYAPP:253] Found Big Mutha Truckers, no time recorded
[18/Feb/2019 15:51:33] WARNING [MYAPP:253] Found NFL Head Coach, no time recorded
[18/Feb/2019 15:51:34] WARNING [MYAPP:253] Found Pool Nation FX, no time recorded
[18/Feb/2019 15:51:39] WARNING [MYAPP:253] Found Mirror, no time recorded
